DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2018-01-01,8,4,28,4,7,6,4.2,81,8.5,1020,66.625,8,5,2,116,122,119,0,2,3.3,météo très défavorable
2018-01-02,7,3,13,4,7,6,1.5,85,8.875,1024,88.375,7,4,3,122,122,122,0,2,3.3,météo très défavorable
2018-01-03,12,7,19,11,12,8,5.5,90,9.375,1019,78,12,8,7,200,116,122,0,2,5.1,météo défavorable
2018-01-04,13,7,13,9,13,11,5.8,86,8.5,1016,88.75,13,9,10,122,122,119,0,3,3.3,météo défavorable
2018-01-05,13,9,21,10,13,10,1.8,85,8.25,1011,62,13,9,9,122,113,116,0,3,8.7,météo correcte
2018-01-06,12,8,27,8,12,8,0.5,88,9.375,1009,63.375,12,7,7,119,113,122,0,3,6.9,météo défavorable
2018-01-07,8,4,7,4,8,5,0,89,10,1015,60,9,5,5,113,119,122,0,3,3.3,météo très défavorable
2018-01-08,7,3,6,3,7,4,0.2,88,9,1015,78.875,8,4,4,122,116,119,0,1,6.9,météo très défavorable
2018-01-09,8,4,25,4,7,7,4.6,97,6,1016,77.25,8,5,3,143,122,116,0,2,5.1,météo très défavorable
2018-01-10,9,5,17,6,9,6,2.2,90,9.75,1016,77.625,9,5,4,122,122,119,0,2,3.4,météo très défavorable
2018-01-11,8,2,14,2,8,5,0.3,95,8,1020,57,8,5,2,122,116,143,0,2,8.7,météo très défavorable
2018-01-12,5,4,14,4,5,4,0.4,93,8,1025,93.75,5,4,1,122,122,122,0,1,3.4,météo très défavorable
2018-01-13,8,1,13,1,7,4,0,88,7,1025,36.625,8,3,1,143,113,113,0,1,8.7,météo très défavorable
2018-01-14,7,2,9,2,6,3,0.3,76,9,1023,60.125,7,1,2,122,119,116,0,2,6.9,météo très défavorable
2018-01-15,8,0,26,0,8,6,3,81,9.625,1024,55.5,8,3,1,116,119,122,0,2,3.4,météo très défavorable
2018-01-16,9,7,19,7,9,9,4.8,88,8.75,1014,76.375,9,7,5,122,116,119,0,2,3.4,météo défavorable
2018-01-17,8,2,25,4,6,2,2.2,80,10,1024,46,8,6,0,116,116,116,0,1,8.7,météo très défavorable
2018-01-18,9,1,19,4,9,8,2.4,81,8,1024,71.75,9,5,2,119,122,119,0,3,3.4,météo très défavorable
2018-01-19,8,3,6,6,8,5,1.5,86,9.75,1020,52.375,9,6,4,116,119,119,0,3,5.2,météo très défavorable
2018-01-20,8,1,24,2,4,6,5.8,90,8.625,1021,83.375,8,7,-1,122,122,122,0,2,3.4,météo très défavorable
2018-01-21,8,5,8,6,7,5,5.6,95,9.375,1019,94,9,7,5,122,122,122,0,2,3.4,météo très défavorable
2018-01-22,12,8,11,9,12,10,8.3,91,9.125,1022,82.375,12,9,9,122,119,119,0,2,5.2,météo défavorable
2018-01-23,10,4,8,4,10,6,0,87,10,1030,36.875,11,7,7,113,113,116,0,2,8.7,météo très défavorable
2018-01-24,12,4,25,4,12,8,0,84,10,1030,20.75,12,6,5,116,113,113,0,2,8.7,météo très défavorable
2018-01-25,12,7,34,7,12,10,0.1,76,10,1024,61,12,6,6,116,122,122,0,3,3.5,météo défavorable
2018-01-26,9,4,13,4,5,4,20.7,93,8.5,1024,100,9,6,1,122,122,122,0,2,3.5,météo très défavorable
2018-01-27,6,4,11,4,6,5,5,94,8.625,1038,85.875,7,4,2,143,119,119,0,1,3.5,météo très défavorable
2018-01-28,8,1,6,1,7,5,0,90,8,1040,41.75,9,3,4,143,113,116,0,1,8.7,météo très défavorable
2018-01-29,9,4,7,4,8,6,0.1,90,8,1039,73.625,10,6,6,143,116,119,0,2,5.2,météo très défavorable
2018-01-30,8,5,9,5,7,6,0.2,92,7.75,1034,83,8,6,4,248,122,119,0,2,3.5,météo très défavorable
2018-01-31,11,2,18,2,9,6,0.3,85,7,1029,26.75,11,5,3,143,113,113,0,3,8.7,météo très défavorable
2018-02-01,6,3,10,5,6,3,8.5,84,9.5,1012,75.625,7,4,3,122,116,116,0,1,8.7,météo très défavorable
2018-02-02,5,-0,17,-0,5,1,0,87,8,1012,47.875,5,0,-2,143,116,116,0,2,8.7,météo très défavorable
